Fecha,Hora,Descripción,Cantidad(g),Costo($),Mes,,Comidita,Costo/g ($),,,,,
1/3/2021,9:00,Papaya,227,385.90,marzo,,Banano,2.4,,,,,
1/3/2021,9:00,Plátano,165,379.50,marzo,,Papaya,1.7,,,,,
2/3/2021,9:30,Plátano,164,377.20,marzo,,Plátano,2.3,,,,,
3/3/2021,8:30,Banano,148,355.20,marzo,,Naranja,4,,,,,
3/3/2021,13:00,Banano,124,297.60,marzo,,,,,,,,
4/3/2021,7:00,Banano,136,326.40,marzo,,,,,,,,
5/3/2021,6:30,Banano,112,268.80,marzo,,,,,,,,
6/3/2021,14:00,Plátano,274,630.20,marzo,,,,,,,,
7/3/2021,11:00,Papaya,222,377.40,marzo,,,,,,,,
8/3/2021,7:30,Banano,125,300.00,marzo,,,,,,,,
9/3/2021,8:00,Banano,139,333.60,marzo,,,,,,,,
10/3/2021,7:30,Plátano,275,632.50,marzo,,,,,,,,
11/3/2021,9:30,Plátano,248,570.40,marzo,,,,,,,,
13/3/2021,10:30,Plátano,281,646.30,marzo,,,,,,,,
14/3/2021,8:00,Plátano,230,529.00,marzo,,,,,,,,
15/3/2021,8:30,Plátano,227,522.10,marzo,,,,,,,,
16/3/2021,7:30,Plátano,297,683.10,marzo,,,,,,,,
18/3/2021,9:00,Plátano,125,287.50,marzo,,,,,,,,
18/3/2021,12:00,Banano,164,393.60,marzo,,,,,,,,
19/3/2021,7:00,Plátano,246,565.80,marzo,,,,,,,,
23/3/2021,10:00,Plátano,246,565.80,marzo,,,,,,,,
24/3/2021,12:00,Banano,325,780.00,marzo,,,,,,,,
6/4/2021,6:00,Banano,150,360.00,abril,,,,,,,,
6/4/2021,10:30,Papaya,117,198.90,abril,,,,,,,,
7/4/2021,12:30,Plátano,194,446.20,abril,,,,,,,,
10/4/2021,13:00,Plátano,195,448.50,abril,,,,,,,,
14/4/2021,8:30,Plátano,165,379.50,abril,,,,,,,,
15/4/2021,9:30,Plátano,145,333.50,abril,,,,,,,,
16/4/2021,12:00,Plátano,225,517.50,abril,,,,,,,,
19/4/2021,8:30,Plátano,215,494.50,abril,,,,,,,,
21/4/2021,10:00,Plátano,194,446.20,abril,,,,,,,,
23/4/2021,6:30,Plátano,215,494.50,abril,,,,,,,,
25/4/2021,9:00,Plátano,269,618.70,abril,,,,,,,,
26/4/2021,11:00,Plátano,289,664.70,abril,,,,,,,,
27/4/2021,9:00,Plátano,284,653.20,abril,,,,,,,,
28/4/2021,8:00,Plátano,292,671.60,abril,,,,,,,,
30/4/2021,13:00,Banano,139,333.60,abril,,,,,,,,
30/4/2021,16:00,Banano,107,256.80,abril,,,,,,,,
1/5/2021,10:00,Banano,111,266.40,mayo,,,,,,,,
1/5/2021,14:00,Banano,99,237.60,mayo,,,,,,,,
1/5/2021,16:30,Banano,99,237.60,mayo,,,,,,,,
2/5/2021,7:00,Banano,110,264.00,mayo,,,,,,,,
2/5/2021,10:00,Banano,115,276.00,mayo,,,,,,,,
3/5/2021,8:00,Banano,105,252.00,mayo,,,,,,,,
3/5/2021,13:30,Plátano,246,565.80,mayo,,,,,,,,
4/5/2021,10:00,Plátano,238,547.40,mayo,,,,,,,,
5/5/2021,7:00,Plátano,261,600.30,mayo,,,,,,,,
6/5/2021,6:00,Plátano,310,713.00,mayo,,,,,,,,
7/5/2021,11:00,Papaya,180,306.00,mayo,,,,,,,,
7/5/2021,16:00,Papaya,72,122.40,mayo,,,,,,,,
8/5/2021,9:00,Papaya,184,312.80,mayo,,,,,,,,
9/5/2021,8:30,Banano,160,384.00,mayo,,,,,,,,
9/5/2021,10:30,Papaya,110,187.00,mayo,,,,,,,,
10/5/2021,7:00,Papaya,132,224.40,mayo,,,,,,,,
11/5/2021,10:00,Naranja,209,836.00,mayo,,,,,,,,
12/5/2021,13:30,Naranja,246,984.00,mayo,,,,,,,,
13/5/2021,6:00,Naranja,198,792.00,mayo,,,,,,,,
14/5/2021,6:30,Naranja,197,788.00,mayo,,,,,,,,
15/5/2021,9:30,Plátano,320,736.00,mayo,,,,,,,,
16/5/2021,8:30,Papaya,416,707.20,mayo,,,,,,,,
17/5/2021,9:00,Plátano,263,604.90,mayo,,,,,,,,
18/5/2021,11:30,Plátano,252,579.60,mayo,,,,,,,,
19/5/2021,10:00,Plátano,243,558.90,mayo,,,,,,,,
20/5/2021,12:30,Plátano,308,708.40,mayo,,,,,,,,
21/5/2021,15:00,Plátano,314,722.20,mayo,,,,,,,,
23/5/2021,8:00,Plátano,275,632.50,mayo,,,,,,,,
24/5/2021,8:00,Naranja,247,988.00,mayo,,,,,,,,
24/5/2021,16:30,Plátano,315,724.50,mayo,,,,,,,,64
25/5/2021,16:30,Plátano,304,699.20,mayo,,,,,,,,
1/6/2021,8:30,Plátano,200,460.00,junio,,,,,,,,
2/6/2021,7:00,Plátano,284,653.20,junio,,,,,,,,
3/6/2021,8:30,Plátano,285,655.50,junio,,,,,,,,
4/6/2021,10:00,Plátano,235,540.50,junio,,,,,,,,
5/6/2021,12:00,Plátano,303,696.90,junio,,,,,,,,
6/6/2021,14:00,Plátano,184,423.20,junio,,,,,,,,
8/6/2021,14:00,Plátano,260,598.00,junio,,,,,,,,
9/6/2021,16:00,Plátano,131,301.30,junio,,,,,,,,
11/6/2021,6:00,Banano,220,528.00,junio,,,,,,,,
11/6/2021,14:00,Banano,227,544.80,junio,,,,,,,,
12/6/2021,9:30,Banano,228,547.20,junio,,,,,,,,
12/6/2021,15:00,Banano,202,484.80,junio,,,,,,,,
13/6/2021,13:00,Banano,94,225.60,junio,,,,,,,,
14/6/2021,10:00,Banano,165,396.00,junio,,,,,,,,
15/6/2021,9:30,Plátano,252,579.60,junio,,,,,,,,
16/6/2021,6:00,Plátano,167,384.10,junio,,,,,,,,
17/6/2021,6:00,Plátano,221,508.30,junio,,,,,,,,
18/6/2021,7:00,Plátano,284,653.20,junio,,,,,,,,
19/6/2021,8:00,Plátano,347,798.10,junio,,,,,,,,
21/6/2021,7:00,Plátano,251,577.30,junio,,,,,,,,
22/6/2021,7:30,Plátano,316,726.80,junio,,,,,,,,
23/6/2021,11:00,Plátano,290,667.00,junio,,,,,,,,
28/6/2021,15:00,Plátano,282,648.60,junio,,,,,,,,
30/6/2021,6:00,Plátano,252,579.60,junio,,,,,,,,
1/7/2021,7:00,Plátano,260,598.00,julio,,,,,,,,
2/7/2021,10:00,Plátano,265,609.50,julio,,,,,,,,
4/7/2021,10:00,Plátano,269,618.70,julio,,,,,,,,
5/7/2021,6:30,Plátano,245,563.50,julio,,,,,,,,
6/7/2021,6:30,Banano,171,410.40,julio,,,,,,,,
6/7/2021,14:00,Banano,156,374.40,julio,,,,,,,,
7/7/2021,13:00,Plátano,136,312.80,julio,,,,,,,,
8/7/2021,6:30,Plátano,254,584.20,julio,,,,,,,,
9/7/2021,6:30,Plátano,279,641.70,julio,,,,,,,,
10/7/2021,10:30,Plátano,259,595.70,julio,,,,,,,,
11/7/2021,12:00,Plátano,306,703.80,julio,,,,,,,,
12/7/2021,10:30,Plátano,236,542.80,julio,,,,,,,,
13/7/2021,10:30,Plátano,251,577.30,julio,,,,,,,,
14/7/2021,10:30,Plátano,238,547.40,julio,,,,,,,,
15/7/2021,7:30,Plátano,305,701.50,julio,,,,,,,,
15/7/2021,16:00,Plátano,249,572.70,julio,,,,,,,,
17/7/2021,9:00,Plátano,319,733.70,julio,,,,,,,,
,,,,0.00,,,,,,,,,
,,,,0.00,,,,,,,,,
,,,,0.00,,,,,,,,,
,,,,0.00,,,,,,,,,
,,,,0.00,,,,,,,,,
,,,,0.00,,,,,,,,,
,,,,0.00,,,,,,,,,
,,,,0.00,,,,,,,,,
,,,,0.00,,,,,,,,,
,,,,0.00,,,,,,,,,
,,,,0.00,,,,,,,,,
,,,,0.00,,,,,,,,,
,,,,0.00,,,,,,,,,
,,,,0.00,,,,,,,,,
,,,,0.00,,,,,,,,,
,,,,0.00,,,,,,,,,
,,,,0.00,,,,,,,,,
,,,,0.00,,,,,,,,,
,,,,0.00,,,,,,,,,
,,,,0.00,,,,,,,,,
,,,,0.00,,,,,,,,,
,,,,0.00,,,,,,,,,
,,,,0.00,,,,,,,,,
,,,,0.00,,,,,,,,,
,,,,0.00,,,,,,,,,
,,,,0.00,,,,,,,,,
,,,,0.00,,,,,,,,,
,,,,0.00,,,,,,,,,
,,,,0.00,,,,,,,,,
,,,,0.00,,,,,,,,,
,,,,0.00,,,,,,,,,
,,,,0.00,,,,,,,,,
,,,,0.00,,,,,,,,,
,,,,0.00,,,,,,,,,
,,,,0.00,,,,,,,,,
,,,,0.00,,,,,,,,,
,,,,0.00,,,,,,,,,
,,,,0.00,,,,,,,,,
,,,,0.00,,,,,,,,,
,,,,0.00,,,,,,,,,
,,,,0.00,,,,,,,,,
,,,,0.00,,,,,,,,,
,,,,0.00,,,,,,,,,
,,,,0.00,,,,,,,,,
,,,,0.00,,,,,,,,,
,,,,0.00,,,,,,,,,
,,,,0.00,,,,,,,,,
,,,,0.00,,,,,,,,,
,,,,0.00,,,,,,,,,
,,,,0.00,,,,,,,,,
,,,,0.00,,,,,,,,,
,,,,0.00,,,,,,,,,
,,,,0.00,,,,,,,,,
,,,,0.00,,,,,,,,,
,,,,0.00,,,,,,,,,
,,,,0.00,,,,,,,,,
,,,,0.00,,,,,,,,,
,,,,0.00,,,,,,,,,
,,,,0.00,,,,,,,,,
,,,,0.00,,,,,,,,,
,,,,0.00,,,,,,,,,
,,,,0.00,,,,,,,,,
,,,,0.00,,,,,,,,,
,,,,0.00,,,,,,,,,
,,,,0.00,,,,,,,,,
,,,,0.00,,,,,,,,,
,,,,0.00,,,,,,,,,
,,,,0.00,,,,,,,,,
,,,,0.00,,,,,,,,,
,,,,0.00,,,,,,,,,
,,,,0.00,,,,,,,,,
,,,,0.00,,,,,,,,,
,,,,0.00,,,,,,,,,
,,,,0.00,,,,,,,,,
,,,,0.00,,,,,,,,,
,,,,0.00,,,,,,,,,
,,,,0.00,,,,,,,,,
,,,,0.00,,,,,,,,,
,,,,0.00,,,,,,,,,
,,,,0.00,,,,,,,,,
,,,,0.00,,,,,,,,,
,,,,0.00,,,,,,,,,
,,,,0.00,,,,,,,,,
,,,,0.00,,,,,,,,,
,,,,0.00,,,,,,,,,
,,,,0.00,,,,,,,,,
,,,,0.00,,,,,,,,,
,,,,0.00,,,,,,,,,
,,,,0.00,,,,,,,,,
